"stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,platform_code"
"NAM_ENT05,NAM Arm B Combined Staircase & Escalator,17.3922718,78.4697351,NAM_ENT05,2,NAM,5.0"
"NAM_ENT06,NAM Arm C Staircase,17.392133729557,78.4702977665619,NAM_ENT06,2,NAM,6.0"
"NAM_ENT07,NAM Arm D Staircase,17.3916217,78.4702453,NAM_ENT07,2,NAM,7.0"
"NAM_ENT08,NAM Arm D Lift,17.3918588,78.4702719,NAM_ENT08,2,NAM,8.0"
"ASM_ENT01,ASM Arm A  Staircase,17.397029,78.470867,ASM_ENT01,2,ASM,1.0"
"ASM_ENT02,ASM Arm B Staircase,17.397357,78.4708174,ASM_ENT02,2,ASM,2.0"
"ASM_ENT03,ASM Arm B Escalator,17.3979657,78.4707188,ASM_ENT03,2,ASM,3.0"
"ASM_ENT04,ASM Arm D Combined Staircase & Escalator,17.398629,78.4708976,ASM_ENT04,2,ASM,4.0"
"ASM_ENT05,ASM Arm E Staircase,17.3972809,78.4710918,ASM_ENT05,2,ASM,5.0"
"ASM_ENT06,ASM Arm E Lift,17.3976523,78.4710315,ASM_ENT06,2,ASM,6.0"
"LKP_ENT01,LKP Arm A  Staircase,17.4032959,78.4652777,LKP_ENT01,2,LKP,1.0"
"LKP_ENT02,LKP Arm A  Escalator,17.4037307,78.4648293,LKP_ENT02,2,LKP,2.0"
"LKP_ENT03,LKP Arm A  Lift,17.4035529,78.4650407,LKP_ENT03,2,LKP,3.0"
"LKP_ENT04,LKP Arm B Staircase,17.4046873,78.4642053,LKP_ENT04,2,LKP,4.0"
"LKP_ENT05,LKP Arm C Escalator,17.4046041,78.4645994,LKP_ENT05,2,LKP,5.0"
"LKP_ENT06,LKP Arm C Lift,17.4041495,78.4650213,LKP_ENT06,2,LKP,6.0"
"LKP_ENT07,LKP Arm D Staircase ,17.4033282,78.4657705,LKP_ENT07,2,LKP,7.0"
"KHA_ENT01,KHA Arm A  Staircase,17.4108969,78.4608301,KHA_ENT01,2,KHA,1.0"
"KHA_ENT02,KHA Arm A  Escalator,17.4115518,78.4607278,KHA_ENT02,2,KHA,2.0"
"KHA_ENT03,KHA Arm B Staircase,17.4125745,78.4603895,KHA_ENT03,2,KHA,3.0"
"KHA_ENT04,KHA Arm B Lift,17.4123498,78.4605308,KHA_ENT04,2,KHA,4.0"
"KHA_ENT05,KHA Arm C Lift,17.4125731,78.4608,KHA_ENT05,2,KHA,5.0"
"KHA_ENT06,KHA Arm C Combined Staircase & Escalator,17.412713,78.4606701,KHA_ENT06,2,KHA,6.0"
"IRM_ENT01,IRM Arm A  Lift,17.420151099999998,78.4562133,IRM_ENT01,2,IRM,1.0"
"IRM_ENT02,IRM Arm A  Staircase,17.4203915,78.4559541,IRM_ENT02,2,IRM,2.0"
"IRM_ENT03,IRM Arm B Staircase,17.4213627,78.4554336,IRM_ENT03,2,IRM,3.0"
"IRM_ENT04,IRM Arm B Escalator,17.4208556,78.4557648,IRM_ENT04,2,IRM,4.0"
"IRM_ENT05,IRM Arm C Staircase,17.4212838,78.4561488,IRM_ENT05,2,IRM,5.0"
"IRM_ENT06,IRM Arm C Escalator,17.4215994,78.4555708,IRM_ENT06,2,IRM,6.0"
"IRM_ENT07,IRM Arm D Staircase,17.420019,78.4566376,IRM_ENT07,2,IRM,7.0"
"IRM_ENT08,IRM Arm D Lift,17.4204175,78.4563565,IRM_ENT08,2,IRM,8.0"
"PUN_ENT01,PUN Arm A  Staircase,17.4279725,78.4514618,PUN_ENT01,2,PUN,1.0"
"PUN_ENT02,PUN Arm A  Lift,17.4281866,78.4513182,PUN_ENT02,2,PUN,2.0"
