service_id,route_id,trip_id,direction_id,trip_headsign,block_id
SU,BLUE,SU_35244,1,Nagole,SU_30101
WK,RED,WK_102693,0,L. B. Nagar,WK_10501
WK,RED,WK_102697,0,L. B. Nagar,WK_10701
WK,RED,WK_102701,0,L. B. Nagar,WK_10901
WK,RED,WK_102702,1,Miyapur,WK_10901
WK,RED,WK_102703,0,L. B. Nagar,WK_11001
WK,RED,WK_102704,1,Miyapur,WK_11001
WK,RED,WK_102787,0,L. B. Nagar,WK_11101
WK,RED,WK_102788,1,Miyapur,WK_11101
WK,RED,WK_102789,0,L. B. Nagar,WK_10101
WK,RED,WK_102790,1,Miyapur,WK_10101
WK,RED,WK_102791,0,L. B. Nagar,WK_11201
WK,RED,WK_102792,1,Miyapur,WK_11201
WK,RED,WK_102793,0,L. B. Nagar,WK_10201
WK,RED,WK_102794,1,Miyapur,WK_10201
WK,RED,WK_102795,0,L. B. Nagar,WK_10301
WK,RED,WK_102796,1,Miyapur,WK_10301
WK,RED,WK_102797,0,L. B. Nagar,WK_10401
WK,RED,WK_102798,1,Miyapur,WK_10401
WK,RED,WK_102799,0,L. B. Nagar,WK_11301
WK,RED,WK_102800,1,Miyapur,WK_11301
WK,RED,WK_102801,0,L. B. Nagar,WK_10501
WK,RED,WK_103595,0,L. B. Nagar,WK_11401
WK,RED,WK_103596,1,Miyapur,WK_11401
WK,RED,WK_103597,0,L. B. Nagar,WK_10601
WK,RED,WK_103598,1,Miyapur,WK_10601
WK,RED,WK_103599,0,L. B. Nagar,WK_11501
WK,RED,WK_103600,1,Miyapur,WK_11501
WK,RED,WK_103601,0,L. B. Nagar,WK_11601
WK,RED,WK_103602,1,Miyapur,WK_11601
WK,RED,WK_103603,0,L. B. Nagar,WK_10701
WK,RED,WK_103604,1,Miyapur,WK_10701
WK,RED,WK_103606,1,Miyapur,WK_11701
WK,RED,WK_103607,0,L. B. Nagar,WK_10801
WK,RED,WK_103608,1,Miyapur,WK_10801
WK,RED,WK_103609,0,L. B. Nagar,WK_11801
WK,RED,WK_103610,1,Miyapur,WK_11801
WK,RED,WK_103611,0,L. B. Nagar,WK_10901
WK,RED,WK_103612,1,Miyapur,WK_10901
WK,RED,WK_103613,0,L. B. Nagar,WK_11901
WK,RED,WK_103614,1,Miyapur,WK_11901
WK,RED,WK_103615,0,L. B. Nagar,WK_11001
WK,RED,WK_103616,1,Miyapur,WK_11001
WK,RED,WK_103617,0,L. B. Nagar,WK_12001
WK,RED,WK_103618,1,Miyapur,WK_12001
WK,RED,WK_103619,0,L. B. Nagar,WK_11101
WK,RED,WK_103620,1,Miyapur,WK_11101
WK,RED,WK_103621,0,L. B. Nagar,WK_12101
WK,RED,WK_103622,1,Miyapur,WK_12101
WK,RED,WK_103623,0,L. B. Nagar,WK_10101
WK,RED,WK_103624,1,Miyapur,WK_10101
WK,RED,WK_103625,0,L. B. Nagar,WK_11201
WK,RED,WK_103626,1,Miyapur,WK_11201
WK,RED,WK_103627,0,L. B. Nagar,WK_12201
WK,RED,WK_103628,1,Miyapur,WK_12201
WK,RED,WK_103629,0,L. B. Nagar,WK_10201
WK,RED,WK_103630,1,Miyapur,WK_10201
WK,RED,WK_103631,0,L. B. Nagar,WK_10301
WK,RED,WK_103632,1,Miyapur,WK_10301
WK,RED,WK_103633,0,L. B. Nagar,WK_12301
WK,RED,WK_103634,1,Miyapur,WK_12301
WK,RED,WK_103635,0,L. B. Nagar,WK_10401
WK,RED,WK_103636,1,Miyapur,WK_10401
WK,RED,WK_103637,0,L. B. Nagar,WK_12401
WK,RED,WK_103638,1,Miyapur,WK_12401
