origin_id,destination_id,fare_id
CDP,PED,F_45
NAR,PED,F_45
SUB,PED,F_40
MGB_G,PED,F_40
NAG,MAD,F_55
UPL,MAD,F_50
STD,MAD,F_50
NGR,MAD,F_50
HSG,MAD,F_50
TAR,MAD,F_45
MET,MAD,F_45
SEC_E,MAD,F_40
PRG,MAD,F_40
PAR,MAD,F_40
ROP,MAD,F_40
PRN,MAD,F_35
BEG,MAD,F_30
AME_B,MAD,F_30
MUN,MAD,F_25
YUG,MAD,F_15
JR5,MAD,F_15
JCP,MAD,F_10
PED,MAD,F_10
MAD,MAD,F_10
DGC,MAD,F_10
HTC,MAD,F_15
RDG,MAD,F_15
MYP,MAD,F_45
JNT,MAD,F_45
KPH,MAD,F_45
KUK,MAD,F_40
BLR,MAD,F_40
MSP,MAD,F_40
BTN,MAD,F_35
ERA,MAD,F_35
ESI,MAD,F_30
